doc_id,source,category,file_path,file_name,status,priority
dnv_dnv_class_2026_04_dnv_cp_0400_437852b9,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0400.pdf,DNV-CP-0400.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0644_7eead256,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0644.pdf,DNV-CP-0644.pdf,pending,3
mepc_mepc_mepc_84_inf_37_information_on_equivalent_means_of_compliance_reported_to_the_marpol_annex_vi_module_in_gi_secretariat_c8889ad8,MEPC,GENERAL,data/raw_pdfs/MEPC/MEPC 84-INF.37 - Information on equivalent means of compliance reported to the MARPOL Annex VI module in GI... (Secretariat).pdf,MEPC 84-INF.37 - Information on equivalent means of compliance reported to the MARPOL Annex VI module in GI... (Secretariat).pdf,pending,3
msc_msc_msc_111_4_1_final_report_of_the_fourth_gbs_maintenance_of_verification_audit_of_14_recognized_organiza_secretary_general_c28bfc28,MSC,GENERAL,data/raw_pdfs/MSC/MSC 111-4-1 - Final report of the Fourth GBS Maintenance of Verification Audit of 14 recognized organiza... (Secretary-General).pdf,MSC 111-4-1 - Final report of the Fourth GBS Maintenance of Verification Audit of 14 recognized organiza... (Secretary-General).pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0350_e9880602,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0350.pdf,DNV-CP-0350.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0206_43266230,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0206.pdf,DNV-CP-0206.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0426_30daafae,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0426.pdf,DNV-CP-0426.pdf,pending,3
mepc_mepc_mepc_84_inf_15_information_for_the_development_of_pre_combustion_onboard_co2_capture_system_on_lng_carrie_t_rkiye_9c0a3d49,MEPC,GENERAL,data/raw_pdfs/MEPC/MEPC 84-INF.15 - Information for the development of pre-combustion onboard CO2 capture system on LNG carrie... (Türkiye).pdf,MEPC 84-INF.15 - Information for the development of pre-combustion onboard CO2 capture system on LNG carrie... (Türkiye).pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0425_5a9215d4,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0425.pdf,DNV-CP-0425.pdf,pending,3
kr_kr_rules_2024_89e8b8b8,KR,GENERAL,data/raw_pdfs/KR Rules/선박용 연료전지 시스템 지침_2024.pdf,선박용 연료전지 시스템 지침_2024.pdf,pending,3
mepc_mepc_mepc_84_14_1_proposal_for_a_new_output_to_address_maritime_autonomous_surface_ships_mass_in_the_instr_china_fdaff2fa,MEPC,GENERAL,data/raw_pdfs/MEPC/MEPC 84-14-1 - Proposal for a new output to address maritime autonomous surface ships (MASS) in the instr... (China).pdf,MEPC 84-14-1 - Proposal for a new output to address maritime autonomous surface ships (MASS) in the instr... (China).pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0352_bf7af8a2,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0352.pdf,DNV-CP-0352.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0427_1a519a7f,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0427.pdf,DNV-CP-0427.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0348_bd758473,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0348.pdf,DNV-CP-0348.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0063_f757bbf8,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CG-0063.pdf,DNV-CG-0063.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0251_b131cffd,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0251.pdf,DNV-CP-0251.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0640_3b43ea56,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0640.pdf,DNV-CP-0640.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0242_9bcf77c7,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0242.pdf,DNV-CP-0242.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0484_1110f1d7,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0484.pdf,DNV-CP-0484.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0296_1419c31e,DNV,GENERAL,data/raw_pdfs/dnv-class_2026-04/DNV-CP-0296.pdf,DNV-CP-0296.pdf,pending,3
